"line","type","ZOI80","ZOI50","ZOI20","fAUC80","fAUC50","fAUC20","slope","se.ZOI80","se.ZOI50","se.ZOI20","se.fAUC80","se.fAUC50","se.fAUC20","se.slope"
"A12","levelA",0,1,10,0.93,0.65,0.79,18,0.08,0.18,1.22,NA,NA,0.0235,1.98
"A13","levelA",13,18,21,0.71,0.36,0.31,181,0.62,0.37,0.46,0.0498,0.0204,0.0095,6.52
"A14","levelA",9,14,19,0.56,0.39,0.38,130,0.4,0.28,0.42,0.0626,0.0204,0.0123,3.08
"A15","levelA",9,15,18,0.66,0.35,0.32,174,1.45,0.26,0.26,0.0875,0.0395,0.0215,6.61
"A16","levelA",7,14,20,0.78,0.46,0.42,117,1.04,0.31,0.52,0.0657,0.0345,0.0174,5.52
"A17","levelA",10,15,18,0.6,0.33,0.29,193,1.1,0.31,0.43,0.0796,0.0317,0.0157,4.98
"A18","levelA",3,9,12,0.78,0.51,0.42,120,0.68,0.25,0.4,0.0615,0.0307,0.0181,5.18
"A12","levelB",0,2,10,0.94,0.85,0.78,26,0,0.14,1.59,0.0625,NA,0.0219,2.41
"A13","levelB",4,16,22,0.85,0.56,0.46,74,1.59,0.59,0.83,0.0627,0.0613,0.0355,15.95
"A14","levelB",1,15,22,0.72,0.65,0.55,52,0.42,0.32,0.95,0.1254,0.033,0.022,7.58
"A15","levelB",6,15,20,0.74,0.44,0.42,83,1.47,0.45,0.78,NA,0.0319,0.0201,10.59
"A16","levelB",8,15,21,0.43,0.37,0.38,99,1.7,0.37,1.03,NA,0.0527,0.0421,12.34
"A17","levelB",5,13,19,0.74,0.47,0.45,85,1.99,1.73,0.61,0.1205,NA,0.0545,14.41
"A18","levelB",2,8,12,0.86,0.55,0.45,122,0.58,0.22,0.36,0.0453,0.026,0.0169,5.3
