"X.1"	"Area"	"Mean"	"X"	"Y"	"photoName"	"XYpos"	"drug"
2	2150	255	133	122	"disk16"	1	"CTX30"
1	2046	255	399	119	"disk16"	2	"AMC30"
3	1994	255	664	129	"disk16"	3	"S10"
4	1669	255	911	130	"disk16"	4	"CIP5"
5	2142	255	134	389	"disk16"	5	"CAZ30"
6	2029	255	408	389	"disk16"	6	"NA30"
7	2503	255	664	391	"disk16"	7	"IPM10"
8	1632	255	909	392	"disk16"	8	"AZM15"
12	2263	255	131	662	"disk16"	9	"F300"
10	1973	255	406	650	"disk16"	10	"FOX30"
11	1708	255	658	652	"disk16"	11	"TET30"
9	1650	255	910	644	"disk16"	12	"C30"
16	1893	255	137	922	"disk16"	13	"SXT25"
15	1905	255	403	920	"disk16"	14	"CPD10"
14	1574	255	652	914	"disk16"	15	"AM10"
13	1367	255	897	898	"disk16"	16	"ATM30"
