 	X	Value
1	0	229
2	1	222
3	2	232
4	3	241
5	4	224
6	5	225
7	6	236
8	7	230
9	8	223
10	9	223
11	10	224
12	11	219
13	12	220
14	13	226
15	14	228
16	15	223
17	16	231
18	17	236
19	18	234
20	19	235
21	20	235
22	21	233
23	22	230
24	23	239
25	24	248
26	25	241
27	26	241
28	27	217
29	28	144
30	29	128
31	30	89
32	31	59
33	32	52
34	33	51
35	34	50
36	35	54
37	36	49
38	37	49
39	38	54
40	39	56
41	40	58
42	41	53
43	42	48
44	43	47
45	44	51
46	45	49
47	46	55
48	47	55
49	48	45
50	49	40
51	50	46
52	51	46
53	52	46
54	53	48
55	54	51
56	55	53
57	56	49
58	57	56
59	58	59
60	59	47
61	60	51
62	61	54
63	62	58
64	63	53
65	64	50
66	65	55
67	66	54
68	67	55
69	68	65
70	69	56
71	70	51
72	71	49
73	72	47
74	73	47
75	74	42
76	75	41
77	76	53
78	77	59
79	78	52
80	79	55
81	80	55
82	81	57
83	82	58
84	83	54
85	84	48
86	85	43
87	86	46
88	87	49
89	88	51
90	89	55
91	90	54
92	91	45
93	92	58
94	93	56
95	94	49
96	95	47
97	96	43
98	97	45
99	98	55
100	99	57
101	100	58
102	101	57
103	102	59
104	103	60
105	104	59
106	105	52
107	106	47
108	107	55
109	108	52
110	109	53
111	110	59
112	111	58
113	112	59
114	113	56
115	114	54
116	115	65
117	116	52
118	117	51
119	118	55
120	119	58
121	120	58
122	121	61
123	122	56
124	123	52
125	124	51
126	125	61
127	126	64
128	127	58
129	128	51
130	129	66
131	130	69
132	131	56
133	132	64
134	133	69
135	134	68
136	135	61
137	136	52
138	137	55
139	138	60
140	139	56
141	140	55
142	141	57
143	142	65
144	143	75
145	144	86
146	145	92
147	146	84
148	147	91
149	148	93
150	149	82
151	150	79
152	151	75
153	152	71
154	153	76
155	154	78
156	155	86
157	156	96
158	157	90
159	158	87
160	159	82
161	160	73
162	161	76
163	162	78
164	163	83
165	164	90
166	165	84
167	166	66
168	167	60
169	168	69
170	169	70
171	170	68
172	171	81
173	172	79
174	173	68
175	174	64
176	175	61
177	176	48
178	177	46
179	178	51
180	179	51
181	180	57
182	181	58
183	182	52
184	183	43
185	184	47
186	185	50
187	186	58
188	187	58
189	188	51
190	189	50
191	190	51
192	191	50
193	192	48
194	193	49
195	194	52
196	195	49
197	196	50
198	197	56
199	198	51
200	199	45
201	200	53
202	201	43
203	202	47
204	203	49
205	204	46
206	205	48
207	206	51
208	207	44
209	208	40
210	209	45
211	210	45
212	211	41
213	212	43
214	213	46
215	214	52
216	215	57
217	216	62
218	217	58
219	218	77
220	219	115
221	220	138
222	221	163
223	222	190
224	223	202
225	224	214
226	225	226
227	226	233
228	227	231
229	228	224
230	229	227
231	230	230
232	231	228
233	232	224
234	233	221
235	234	227
236	235	228
237	236	221
238	237	224
239	238	225
240	0	229
241	1	222
242	2	232
243	3	241
244	4	222
245	5	224
246	6	232
247	7	222
248	8	219
249	9	221
250	10	223
251	11	225
252	12	224
253	13	225
254	14	228
255	15	224
256	16	233
257	17	239
258	18	232
259	19	230
260	20	235
261	21	234
262	22	229
263	23	234
264	24	242
265	25	239
266	26	237
267	27	227
268	28	153
269	29	115
270	30	94
271	31	78
272	32	56
273	33	53
274	34	52
275	35	51
276	36	49
277	37	46
278	38	39
279	39	40
280	40	47
281	41	40
282	42	50
283	43	63
284	44	58
285	45	47
286	46	44
287	47	47
288	48	48
289	49	42
290	50	45
291	51	43
292	52	46
293	53	39
294	54	37
295	55	51
296	56	52
297	57	50
298	58	50
299	59	54
300	60	47
301	61	48
302	62	51
303	63	52
304	64	45
305	65	52
306	66	53
307	67	47
308	68	50
309	69	52
310	70	56
311	71	53
312	72	47
313	73	42
314	74	44
315	75	52
316	76	47
317	77	48
318	78	45
319	79	50
320	80	50
321	81	52
322	82	60
323	83	53
324	84	51
325	85	50
326	86	39
327	87	51
328	88	49
329	89	44
330	90	54
331	91	47
332	92	53
333	93	48
334	94	42
335	95	43
336	96	42
337	97	43
338	98	53
339	99	54
340	100	57
341	101	56
342	102	43
343	103	52
344	104	62
345	105	58
346	106	59
347	107	54
348	108	58
349	109	52
350	110	52
351	111	52
352	112	51
353	113	55
354	114	43
355	115	53
356	116	53
357	117	57
358	118	59
359	119	59
360	120	56
361	121	55
362	122	46
363	123	54
364	124	56
365	125	62
366	126	60
367	127	57
368	128	64
369	129	65
370	130	59
371	131	68
372	132	56
373	133	54
374	134	64
375	135	67
376	136	57
377	137	59
378	138	57
379	139	60
380	140	61
381	141	67
382	142	59
383	143	64
384	144	72
385	145	87
386	146	90
387	147	70
388	148	70
389	149	81
390	150	52
391	151	77
392	152	70
393	153	81
394	154	73
395	155	69
396	156	71
397	157	73
398	158	77
399	159	63
400	160	72
401	161	64
402	162	70
403	163	72
404	164	101
405	165	73
406	166	76
407	167	71
408	168	68
409	169	62
410	170	63
411	171	85
412	172	75
413	173	83
414	174	67
415	175	74
416	176	67
417	177	60
418	178	57
419	179	53
420	180	52
421	181	54
422	182	53
423	183	54
424	184	56
425	185	48
426	186	57
427	187	54
428	188	49
429	189	57
430	190	63
431	191	56
432	192	49
433	193	61
434	194	52
435	195	49
436	196	57
437	197	55
438	198	55
439	199	54
440	200	46
441	201	65
442	202	53
443	203	45
444	204	65
445	205	56
446	206	58
447	207	47
448	208	64
449	209	50
450	210	60
451	211	54
452	212	51
453	213	55
454	214	57
455	215	53
456	216	50
457	217	54
458	218	65
459	219	60
460	220	74
461	221	49
462	222	81
463	223	77
464	224	143
465	225	180
466	226	189
467	227	193
468	228	224
469	229	218
470	230	229
471	231	219
472	232	229
473	233	230
474	234	212
475	235	232
476	236	231
477	237	219
478	238	226
479	0	229
480	1	222
481	2	233
482	3	241
483	4	219
484	5	219
485	6	223
486	7	212
487	8	215
488	9	218
489	10	221
490	11	231
491	12	230
492	13	224
493	14	228
494	15	224
495	16	232
496	17	240
497	18	232
498	19	229
499	20	235
500	21	237
501	22	233
502	23	234
503	24	235
504	25	238
505	26	235
506	27	236
507	28	153
508	29	108
509	30	104
510	31	66
511	32	47
512	33	53
513	34	49
514	35	49
515	36	46
516	37	42
517	38	35
518	39	37
519	40	24
520	41	25
521	42	39
522	43	46
523	44	53
524	45	47
525	46	46
526	47	46
527	48	38
528	49	42
529	50	52
530	51	51
531	52	47
532	53	53
533	54	52
534	55	50
535	56	50
536	57	53
537	58	51
538	59	52
539	60	48
540	61	50
541	62	50
542	63	45
543	64	48
544	65	53
545	66	53
546	67	57
547	68	64
548	69	54
549	70	54
550	71	59
551	72	52
552	73	53
553	74	47
554	75	38
555	76	49
556	77	46
557	78	42
558	79	63
559	80	47
560	81	42
561	82	60
562	83	53
563	84	56
564	85	53
565	86	56
566	87	58
567	88	52
568	89	49
569	90	54
570	91	51
571	92	58
572	93	64
573	94	39
574	95	54
575	96	54
576	97	50
577	98	52
578	99	41
579	100	36
580	101	48
581	102	54
582	103	53
583	104	55
584	105	50
585	106	47
586	107	45
587	108	53
588	109	53
589	110	55
590	111	55
591	112	53
592	113	51
593	114	55
594	115	64
595	116	48
596	117	54
597	118	59
598	119	54
599	120	55
600	121	60
601	122	57
602	123	53
603	124	57
604	125	58
605	126	59
606	127	62
607	128	66
608	129	69
609	130	69
610	131	66
611	132	72
612	133	63
613	134	70
614	135	69
615	136	63
616	137	64
617	138	55
618	139	50
619	140	59
620	141	66
621	142	68
622	143	71
623	144	68
624	145	64
625	146	69
626	147	74
627	148	77
628	149	97
629	150	82
630	151	73
631	152	70
632	153	72
633	154	120
634	155	93
635	156	78
636	157	91
637	158	85
638	159	89
639	160	84
640	161	81
641	162	77
642	163	67
643	164	97
644	165	104
645	166	77
646	167	72
647	168	58
648	169	87
649	170	104
650	171	91
651	172	83
652	173	88
653	174	90
654	175	73
655	176	62
656	177	80
657	178	79
658	179	61
659	180	61
660	181	59
661	182	62
662	183	56
663	184	50
664	185	53
665	186	52
666	187	52
667	188	52
668	189	50
669	190	46
670	191	48
671	192	53
672	193	54
673	194	53
674	195	53
675	196	49
676	197	55
677	198	54
678	199	48
679	200	49
680	201	50
681	202	51
682	203	51
683	204	50
684	205	49
685	206	48
686	207	51
687	208	51
688	209	56
689	210	58
690	211	62
691	212	59
692	213	65
693	214	69
694	215	64
695	216	60
696	217	54
697	218	55
698	219	54
699	220	56
700	221	59
701	222	60
702	223	61
703	224	63
704	225	64
705	226	65
706	227	65
707	228	73
708	229	73
709	230	82
710	231	84
711	232	88
712	233	101
713	234	134
714	235	139
715	236	149
716	237	159
717	238	165
718	0	229
719	1	222
720	2	233
721	3	238
722	4	217
723	5	215
724	6	215
725	7	200
726	8	211
727	9	216
728	10	218
729	11	231
730	12	227
731	13	223
732	14	228
733	15	223
734	16	231
735	17	239
736	18	232
737	19	227
738	20	238
739	21	241
740	22	237
741	23	234
742	24	245
743	25	227
744	26	226
745	27	244
746	28	158
747	29	116
748	30	90
749	31	62
750	32	55
751	33	45
752	34	44
753	35	50
754	36	54
755	37	39
756	38	48
757	39	50
758	40	45
759	41	45
760	42	40
761	43	49
762	44	54
763	45	48
764	46	55
765	47	48
766	48	49
767	49	51
768	50	53
769	51	54
770	52	47
771	53	46
772	54	50
773	55	52
774	56	50
775	57	54
776	58	47
777	59	49
778	60	55
779	61	49
780	62	50
781	63	50
782	64	47
783	65	49
784	66	50
785	67	52
786	68	49
787	69	49
788	70	51
789	71	44
790	72	45
791	73	52
792	74	56
793	75	41
794	76	48
795	77	73
796	78	62
797	79	51
798	80	52
799	81	55
800	82	50
801	83	55
802	84	55
803	85	56
804	86	53
805	87	57
806	88	59
807	89	53
808	90	51
809	91	47
810	92	53
811	93	57
812	94	53
813	95	57
814	96	62
815	97	57
816	98	51
817	99	47
818	100	51
819	101	57
820	102	65
821	103	54
822	104	53
823	105	55
824	106	44
825	107	51
826	108	54
827	109	48
828	110	51
829	111	55
830	112	59
831	113	54
832	114	54
833	115	52
834	116	53
835	117	55
836	118	56
837	119	64
838	120	66
839	121	63
840	122	60
841	123	53
842	124	60
843	125	64
844	126	54
845	127	57
846	128	56
847	129	59
848	130	65
849	131	64
850	132	56
851	133	54
852	134	55
853	135	59
854	136	53
855	137	77
856	138	73
857	139	58
858	140	62
859	141	63
860	142	62
861	143	73
862	144	72
863	145	43
864	146	72
865	147	101
866	148	69
867	149	102
868	150	96
869	151	88
870	152	65
871	153	63
872	154	98
873	155	106
874	156	84
875	157	84
876	158	90
877	159	91
878	160	72
879	161	83
880	162	99
881	163	93
882	164	94
883	165	95
884	166	90
885	167	108
886	168	90
887	169	75
888	170	92
889	171	81
890	172	78
891	173	92
892	174	75
893	175	78
894	176	80
895	177	79
896	178	83
897	179	78
898	180	69
899	181	67
900	182	61
901	183	53
902	184	47
903	185	52
904	186	52
905	187	53
906	188	54
907	189	50
908	190	54
909	191	63
910	192	48
911	193	51
912	194	63
913	195	63
914	196	55
915	197	50
916	198	48
917	199	53
918	200	55
919	201	49
920	202	51
921	203	60
922	204	68
923	205	62
924	206	62
925	207	60
926	208	53
927	209	53
928	210	56
929	211	54
930	212	55
931	213	55
932	214	53
933	215	55
934	216	57
935	217	53
936	218	53
937	219	58
938	220	64
939	221	57
940	222	55
941	223	54
942	224	55
943	225	59
944	226	62
945	227	63
946	228	65
947	229	62
948	230	63
949	231	66
950	232	61
951	233	56
952	234	70
953	235	66
954	236	64
955	237	64
956	238	65
957	0	229
958	1	222
959	2	233
960	3	235
961	4	214
962	5	211
963	6	207
964	7	188
965	8	209
966	9	215
967	10	212
968	11	226
969	12	223
970	13	223
971	14	228
972	15	230
973	16	228
974	17	219
975	18	228
976	19	222
977	20	242
978	21	244
979	22	243
980	23	234
981	24	241
982	25	233
983	26	226
984	27	248
985	28	125
986	29	130
987	30	76
988	31	66
989	32	60
990	33	46
991	34	51
992	35	51
993	36	47
994	37	34
995	38	45
996	39	55
997	40	49
998	41	41
999	42	43
1000	43	56
1001	44	54
1002	45	48
1003	46	48
1004	47	50
1005	48	52
1006	49	58
1007	50	54
1008	51	49
1009	52	45
1010	53	48
1011	54	49
1012	55	51
1013	56	50
1014	57	51
1015	58	48
1016	59	49
1017	60	51
1018	61	52
1019	62	53
1020	63	50
1021	64	42
1022	65	44
1023	66	54
1024	67	50
1025	68	52
1026	69	55
1027	70	53
1028	71	53
1029	72	50
1030	73	56
1031	74	57
1032	75	60
1033	76	66
1034	77	70
1035	78	53
1036	79	50
1037	80	51
1038	81	51
1039	82	50
1040	83	44
1041	84	49
1042	85	51
1043	86	53
1044	87	53
1045	88	48
1046	89	50
1047	90	50
1048	91	50
1049	92	59
1050	93	47
1051	94	49
1052	95	52
1053	96	56
1054	97	47
1055	98	60
1056	99	46
1057	100	56
1058	101	54
1059	102	53
1060	103	57
1061	104	55
1062	105	53
1063	106	50
1064	107	49
1065	108	56
1066	109	58
1067	110	52
1068	111	54
1069	112	59
1070	113	55
1071	114	58
1072	115	56
1073	116	61
1074	117	59
1075	118	58
1076	119	57
1077	120	58
1078	121	63
1079	122	62
1080	123	65
1081	124	65
1082	125	61
1083	126	64
1084	127	66
1085	128	66
1086	129	57
1087	130	54
1088	131	56
1089	132	56
1090	133	54
1091	134	59
1092	135	66
1093	136	66
1094	137	63
1095	138	56
1096	139	56
1097	140	55
1098	141	65
1099	142	65
1100	143	58
1101	144	64
1102	145	66
1103	146	88
1104	147	97
1105	148	89
1106	149	81
1107	150	88
1108	151	77
1109	152	81
1110	153	72
1111	154	67
1112	155	77
1113	156	97
1114	157	81
1115	158	91
1116	159	84
1117	160	90
1118	161	82
1119	162	85
1120	163	95
1121	164	76
1122	165	91
1123	166	88
1124	167	74
1125	168	73
1126	169	90
1127	170	97
1128	171	99
1129	172	90
1130	173	89
1131	174	77
1132	175	73
1133	176	67
1134	177	60
1135	178	67
1136	179	77
1137	180	82
1138	181	79
1139	182	67
1140	183	72
1141	184	80
1142	185	71
1143	186	59
1144	187	50
1145	188	55
1146	189	62
1147	190	56
1148	191	50
1149	192	53
1150	193	65
1151	194	73
1152	195	71
1153	196	67
1154	197	65
1155	198	63
1156	199	62
1157	200	58
1158	201	59
1159	202	56
1160	203	53
1161	204	61
1162	205	61
1163	206	56
1164	207	59
1165	208	56
1166	209	57
1167	210	72
1168	211	68
1169	212	65
1170	213	64
1171	214	68
1172	215	70
1173	216	60
1174	217	60
1175	218	62
1176	219	63
1177	220	68
1178	221	69
1179	222	64
1180	223	66
1181	224	61
1182	225	68
1183	226	70
1184	227	68
1185	228	63
1186	229	62
1187	230	60
1188	231	62
1189	232	58
1190	233	66
1191	234	71
1192	235	71
1193	236	61
1194	237	68
1195	238	64
1196	0	229
1197	1	222
1198	2	232
1199	3	232
1200	4	212
1201	5	206
1202	6	199
1203	7	185
1204	8	211
1205	9	215
1206	10	206
1207	11	222
1208	12	221
1209	13	222
1210	14	225
1211	15	242
1212	16	229
1213	17	213
1214	18	226
1215	19	226
1216	20	248
1217	21	246
1218	22	248
1219	23	241
1220	24	242
1221	25	240
1222	26	250
