name,line,type,ZOI80,ZOI50,ZOI20,fAUC80,fAUC50,fAUC20,slope
A12_30_1,A12,levelA,0,1,10,1,NA,0.84,17.8
A12_30_10,A12,levelA,1,2,8,NA,0.39,0.65,24.9
A12_30_11,A12,levelA,0,1,9,1,NA,0.81,11.8
A12_30_12,A12,levelA,0,1,20,1,NA,0.89,14.2
A12_30_2,A12,levelA,0,1,12,1,NA,0.85,11.7
A12_30_3,A12,levelA,0,1,9,1,NA,0.76,11.9
A12_30_4,A12,levelA,0,1,8,1,NA,0.83,18.1
A12_30_5,A12,levelA,0,2,7,1,0.8,0.71,30.9
A12_30_6,A12,levelA,0,2,10,0.25,0.57,0.76,19.3
A12_30_7,A12,levelA,0,1,3,1,NA,0.66,30.5
A12_30_8,A12,levelA,0,0,10,1,0.71,0.87,13.9
A12_30_9,A12,levelA,0,2,15,1,0.77,0.85,16.1
A12_37_1,A12,levelB,0,1,7,1,NA,0.86,23.1
A12_37_10,A12,levelB,0,1,5,1,NA,0.68,28.4
A12_37_11,A12,levelB,0,2,6,1,0.91,0.75,38
A12_37_12,A12,levelB,0,1,4,1,NA,0.68,37.2
A12_37_2,A12,levelB,0,2,18,0.25,0.76,0.9,14.9
A12_37_3,A12,levelB,0,2,12,1,0.77,0.82,20.9
A12_37_4,A12,levelB,0,2,8,1,0.98,0.76,22.6
A12_37_5,A12,levelB,0,2,20,1,0.68,0.84,17.7
A12_37_6,A12,levelB,0,1,7,1,NA,0.74,32.8
A12_37_7,A12,levelB,0,2,6,1,0.88,0.7,30.9
A12_37_8,A12,levelB,0,2,17,1,0.87,0.87,16
A12_37_9,A12,levelB,0,2,9,1,0.92,0.78,35.2
A13_30_1,A13,levelA,13,16,19,0.33,0.22,0.26,172.5
A13_30_10,A13,levelA,12,18,22,0.84,0.4,0.33,192
A13_30_11,A13,levelA,9,17,21,0.99,0.47,0.37,205.4
A13_30_12,A13,levelA,12,17,20,0.64,0.32,0.29,233.9
A13_30_2,A13,levelA,12,19,22,0.77,0.36,0.31,163.7
A13_30_3,A13,levelA,15,19,22,0.79,0.37,0.29,154.5
A13_30_4,A13,levelA,11,16,19,0.73,0.39,0.3,186.2
A13_30_5,A13,levelA,10,19,23,0.9,0.46,0.35,162.1
A13_30_6,A13,levelA,16,19,23,0.57,0.28,0.29,158.2
A13_30_7,A13,levelA,15,18,22,0.74,0.34,0.32,173.8
A13_30_8,A13,levelA,14,16,19,0.6,0.33,0.26,182.9
A13_30_9,A13,levelA,14,19,23,0.65,0.32,0.32,189.5
A13_37_1,A13,levelB,0,16,19,1,0.78,0.55,25
A13_37_11,A13,levelB,6,16,21,0.86,0.47,0.38,125.9
A13_37_2,A13,levelB,3,17,20,0.97,0.59,0.44,45.8
A13_37_3,A13,levelB,4,17,22,0.77,0.5,0.42,76.8
A13_37_4,A13,levelB,0,12,26,1,0.85,0.65,14.9
A13_37_6,A13,levelB,0,15,24,1,0.66,0.56,52.8
A13_37_7,A13,levelB,2,17,25,0.75,0.49,0.48,60
A13_37_8,A13,levelB,6,17,20,0.86,0.44,0.37,156.2
A13_37_9,A13,levelB,15,18,24,0.42,0.25,0.32,113.1
A14_30_1,A14,levelA,8,13,18,0.65,0.43,0.39,119.4
A14_30_10,A14,levelA,8,13,17,0.31,0.33,0.36,123.1
A14_30_11,A14,levelA,9,15,21,0.81,0.46,0.42,147.9
A14_30_12,A14,levelA,9,13,17,0.35,0.31,0.32,138.3
A14_30_2,A14,levelA,12,16,21,0.24,0.26,0.33,119.2
A14_30_3,A14,levelA,8,13,18,0.54,0.41,0.39,114.9
A14_30_4,A14,levelA,9,14,18,0.47,0.39,0.36,119.4
A14_30_5,A14,levelA,6,13,19,0.96,0.51,0.45,141.9
A14_30_6,A14,levelA,9,14,19,0.48,0.36,0.35,138.1
A14_30_7,A14,levelA,9,13,21,0.71,0.42,0.45,131
A14_30_8,A14,levelA,9,14,19,0.5,0.38,0.36,133.1
A14_30_9,A14,levelA,8,14,18,0.75,0.46,0.37,135.2
A14_37_1,A14,levelB,0,13,26,0.33,0.64,0.62,31.2
A14_37_10,A14,levelB,2,15,20,0.82,0.53,0.46,99.5
A14_37_12,A14,levelB,0,15,23,1,0.67,0.52,48
A14_37_4,A14,levelB,3,16,21,1,0.54,0.49,54.9
A14_37_5,A14,levelB,0,14,18,1,0.8,0.59,40.4
A14_37_6,A14,levelB,0,15,20,0.4,0.61,0.51,60.2
A14_37_7,A14,levelB,0,15,22,0.17,0.64,0.56,37.2
A14_37_9,A14,levelB,0,14,25,1,0.75,0.63,42.9
A15_30_1,A15,levelA,3,14,18,0.97,0.43,0.37,188
A15_30_10,A15,levelA,11,15,19,0.76,0.4,0.35,173.8
A15_30_11,A15,levelA,9,14,19,0.84,0.4,0.41,157
A15_30_12,A15,levelA,10,15,18,0.88,0.44,0.34,172.4
A15_30_2,A15,levelA,13,15,18,0.31,0.19,0.22,175.3
A15_30_3,A15,levelA,0,15,18,1,0.47,0.38,170.6
