"distance.picInhib","instensity.picInhib"
0,255
0.08,255
0.159,255
0.239,254.806
0.319,254.764
0.398,254.583
0.478,254.597
0.558,254.583
0.637,254.653
0.717,254.639
0.797,254.597
0.876,254.403
0.956,254.583
1.036,254.833
1.116,254.819
1.195,254.764
1.275,254.667
1.355,254.708
1.434,254.681
1.514,254.556
1.594,254.667
1.673,254.681
1.753,254.694
1.833,254.736
1.912,254.764
1.992,254.736
2.072,254.625
2.151,254.611
2.231,254.597
2.311,254.514
2.39,254.514
2.47,254.486
2.55,254.5
2.629,254.5
2.709,254.528
2.789,254.611
2.869,254.625
2.948,254.653
3.028,254.528
3.108,254.458
3.187,254.542
3.267,254.639
3.347,254.556
3.426,254.458
3.506,254.5
3.586,254.458
3.665,254.403
3.745,254.417
3.825,254.458
3.904,254.458
3.984,254.458
4.064,254.486
4.143,254.542
4.223,254.611
4.303,254.542
4.382,254.444
4.462,254.5
4.542,254.5
4.622,254.444
4.701,254.5
4.781,254.403
4.861,254.472
4.94,254.5
5.02,254.486
5.1,254.417
5.179,254.375
5.259,254.389
5.339,254.347
5.418,253.903
5.498,252.875
5.578,251.444
5.657,247.528
5.737,240.333
5.817,224.431
5.896,203.667
5.976,184.375
6.056,163.097
6.135,147.958
6.215,136
6.295,128.75
6.375,124.903
6.454,122.833
6.534,122.653
6.614,123.264
6.693,123.625
6.773,124.014
6.853,124.722
6.932,125.319
7.012,125.722
7.092,125.889
7.171,125.75
7.251,125.625
7.331,125.681
7.41,126
7.49,126.542
7.57,127.25
7.649,127.111
7.729,126.875
7.809,126.861
7.888,127.444
7.968,127.847
8.048,127.722
8.127,128.069
8.207,128.486
8.287,128.806
8.367,129.056
8.446,130.694
8.526,133.014
8.606,136.736
8.685,141.319
8.765,146.722
8.845,152.208
8.924,157.514
9.004,163.125
9.084,168.681
9.163,173.653
9.243,178.264
9.323,180.833
9.402,183.611
9.482,186.5
9.562,188.597
9.641,189.972
9.721,191.125
9.801,191.986
9.88,192.222
9.96,192.028
10.04,191.222
10.12,190.833
10.199,191.208
10.279,191.708
10.359,191.778
10.438,192.097
10.518,192.278
10.598,191.889
10.677,191.278
10.757,190.736
10.837,190.153
10.916,189.111
10.996,188.139
11.076,187.181
11.155,186.639
11.235,185.75
11.315,184.917
11.394,183.833
11.474,183.5
11.554,183.111
11.633,182.583
11.713,181.333
11.793,179.986
11.873,179.083
11.952,178
12.032,177.278
12.112,176.403
12.191,175.25
12.271,174.681
12.351,173.736
12.43,172.625
12.51,171.639
12.59,171.028
12.669,170.417
12.749,169.819
12.829,168.528
12.908,167.556
12.988,166.278
13.068,165.583
13.147,164.861
13.227,163.611
13.307,162.333
13.386,161.153
13.466,160.222
13.546,159.708
13.625,159.153
13.705,158.611
13.785,157.319
13.865,156.528
13.944,156.042
14.024,155.667
14.104,154.569
14.183,153.444
14.263,152.347
14.343,151.917
14.422,151.347
14.502,150.708
14.582,149.986
14.661,149.389
14.741,148.569
14.821,147.819
14.9,147.056
14.98,146.556
15.06,146.708
15.139,147.083
15.219,146.944
15.299,146.681
15.378,146.306
15.458,145.875
15.538,145.431
15.618,144.833
15.697,144.403
15.777,143.639
15.857,142.986
15.936,142.556
16.016,142.375
16.096,142.458
16.175,142.639
16.255,142.306
16.335,142.556
16.414,142.25
16.494,141.583
16.574,140.875
16.653,140.208
16.733,140.444
16.813,139.861
16.892,140.208
16.972,140.361
17.052,140.028
17.131,139.681
17.211,139.403
17.291,139.25
17.371,139.014
17.45,138.917
17.53,139.236
17.61,139.486
17.689,139.681
17.769,139.542
17.849,139.083
17.928,138.847
18.008,138.792
18.088,139.542
18.167,139.431
18.247,139.25
18.327,139.597
18.406,139.486
18.486,139.403
18.566,138.597
18.645,138.361
18.725,138.236
18.805,138.264
18.884,138.278
18.964,137.792
19.044,138.236
19.124,138.069
19.203,137.847
19.283,137.708
19.363,137.722
19.442,137.472
19.522,137
19.602,136.778
19.681,136.833
19.761,136.694
19.841,136.528
19.92,136.653
20,136.972
20.08,136.764
20.159,136.403
20.239,136.056
20.319,135.556
20.398,135.486
20.478,136.042
20.558,136.167
20.637,135.847
20.717,135.986
20.797,135.736
20.876,135.514
20.956,135.472
21.036,135.75
21.116,135.944
21.195,136.042
21.275,135.722
21.355,135.722
21.434,135.708
21.514,135.653
21.594,135.778
21.673,135.708
21.753,135.75
21.833,135.139
21.912,134.986
21.992,134.806
22.072,134.806
22.151,134.597
22.231,134.278
22.311,134.347
