"distance.p1_30_a","instensity.p1_30_a","distance.p2_30_a","instensity.p2_30_a","distance.p3_atyp1","instensity.p3_atyp1","distance.p4_atyp2","instensity.p4_atyp2"
0,219,0,218,0,254,0,243
0.085,228.222,0.084,237.75,0.089,249.444,0.091,242.722
0.17,239.069,0.167,248.583,0.178,206.125,0.182,230.194
0.255,246.625,0.251,249.486,0.267,177.097,0.273,200.861
0.34,249.75,0.335,250.736,0.356,180.75,0.364,192.792
0.426,247.417,0.418,250.375,0.445,195.611,0.455,180.278
0.511,245.444,0.502,247.931,0.535,204.056,0.545,153.472
0.596,246.653,0.586,247.514,0.624,166.75,0.636,157.722
0.681,247.125,0.669,247.583,0.713,154.625,0.727,178.639
0.766,245.569,0.753,246.528,0.802,155.694,0.818,190.861
0.851,244.528,0.837,245.847,0.891,167.139,0.909,199.056
0.936,242.986,0.921,247.083,0.98,179.847,1,213.597
1.021,241.042,1.004,247.542,1.069,181.597,1.091,214.764
1.106,240.764,1.088,249.486,1.158,167.889,1.182,200.486
1.191,243.861,1.172,251.347,1.247,162.75,1.273,190.069
1.277,245.597,1.255,250.653,1.336,167.264,1.364,192.056
1.362,245.806,1.339,249.736,1.425,182.792,1.455,197.319
1.447,245.875,1.423,246.667,1.514,191.236,1.545,205.431
1.532,245.764,1.506,245.542,1.604,202.736,1.636,218.486
1.617,245.819,1.59,250.472,1.693,219.389,1.727,221
1.702,248.153,1.674,254.389,1.782,223.847,1.818,220.5
1.787,251.972,1.757,254.806,1.871,235.569,1.909,223.014
1.872,254.167,1.841,254.931,1.96,244.681,2,228.25
1.957,254.861,1.925,254.889,2.049,250.861,2.091,237.236
2.043,254.931,2.008,254.944,2.138,254.903,2.182,245.347
2.128,254.986,2.092,254.944,2.227,254.986,2.273,248.486
2.213,255,2.176,255,2.316,254.986,2.364,250.25
2.298,255,2.259,255,2.405,255,2.455,251.111
2.383,254.972,2.343,255,2.494,255,2.545,251.069
2.468,254.819,2.427,254.931,2.584,254.986,2.636,250.75
2.553,254.583,2.51,254.819,2.673,254.917,2.727,249.611
2.638,254.347,2.594,254.597,2.762,254.458,2.818,247.472
2.723,253.778,2.678,254.653,2.851,253.764,2.909,244.625
2.809,252.889,2.762,254.153,2.94,237.611,3,231.806
2.894,240.25,2.845,248.736,3.029,188.264,3.091,201.111
2.979,181.361,2.929,217.181,3.118,125.389,3.182,172.153
3.064,101.472,3.013,166.681,3.207,95.625,3.273,145.944
3.149,53.847,3.096,126.75,3.296,103.625,3.364,119.264
