"distance.p1_30_a","instensity.p1_30_a","distance.p2_30_a","instensity.p2_30_a"
0,175,0,182
0.084,186.111,0.088,191.806
0.168,196.681,0.175,202.375
0.252,202.056,0.263,207.458
0.336,205.056,0.351,209.5
0.42,203,0.439,209.611
0.504,201.264,0.526,207.042
0.588,202.542,0.614,206.222
0.672,202.486,0.702,206.764
0.756,201.319,0.789,206.264
0.84,200.597,0.877,205.472
0.924,198.361,0.965,205.611
1.008,196.736,1.053,206.931
1.092,197.069,1.14,210
1.176,200.278,1.228,212.833
1.261,203.333,1.316,214.889
1.345,204.75,1.404,215.681
1.429,204.931,1.491,214.097
1.513,205.458,1.579,214.167
1.597,206.069,1.667,218.931
1.681,208.444,1.754,226.694
1.765,212.375,1.842,230.625
1.849,215.153,1.93,232.083
1.933,217.542,2.018,232.833
2.017,218.514,2.105,233.194
2.101,218.764,2.193,233.694
2.185,219.069,2.281,234.153
2.269,219.333,2.368,234.278
2.353,219.694,2.456,234.444
2.437,219.236,2.544,234.625
2.521,218.569,2.632,234.528
2.605,217.889,2.719,234.097
2.689,217.458,2.807,232.764
2.773,215.167,2.895,231.569
2.857,202.153,2.982,221
2.941,159.417,3.07,186
3.025,107.486,3.158,140.486
3.109,76.083,3.246,115.153
3.193,60.944,3.333,106.278
3.277,52.639,3.421,99.861
3.361,49.028,3.509,93.708
3.445,46.25,3.596,91.083
3.529,45.069,3.684,89.556
3.613,45.097,3.772,90.347
3.697,45.375,3.86,89.25
3.782,45.722,3.947,87.583
3.866,45.528,4.035,91.167
3.95,45.514,4.123,93.181
4.034,45.556,4.211,93.792
4.118,46,4.298,94.514
4.202,46.014,4.386,97.167
4.286,46.375,4.474,95.236
4.37,46.597,4.561,91.056
4.454,47.264,4.649,90.611
4.538,47.25,4.737,90.014
4.622,47.653,4.825,90.847
4.706,48.25,4.912,91.486
4.79,48.514,5,93.819
4.874,48.833,5.088,93.333
4.958,48.681,5.175,90.833
5.042,48.958,5.263,91.333
5.126,48.944,5.351,93.222
5.21,48.903,5.439,93.319
5.294,49.014,5.526,90.5
5.378,49.097,5.614,91.694
5.462,49.486,5.702,92.708
5.546,50.069,5.789,91.819
5.63,50.25,5.877,91.319
5.714,49.583,5.965,90.417
5.798,49.681,6.053,89.625
5.882,49.764,6.14,88.542
5.966,50.014,6.228,87.764
6.05,50.139,6.316,89.958
6.134,50.167,6.404,92.264
6.218,50.125,6.491,93.139
6.303,50.375,6.579,94.181
6.387,51.028,6.667,93.958
6.471,51.097,6.754,93.139
6.555,50.542,6.842,94.833
6.639,50.542,6.93,93.097
6.723,50.861,7.018,87.542
6.807,50.889,7.105,86.917
6.891,51.153,7.193,87.375
6.975,51.278,7.281,89.5
7.059,51.667,7.368,90.444
7.143,51.681,7.456,90.042
7.227,51.597,7.544,88.792
7.311,51.458,7.632,87.694
7.395,51.556,7.719,86.472
7.479,51.389,7.807,88.069
7.563,51.153,7.895,87.819
7.647,51.306,7.982,88.847
7.731,51.819,8.07,89.889
7.815,52.083,8.158,89.125
7.899,52.319,8.246,87.153
7.983,52.361,8.333,87.903
8.067,52.278,8.421,87.764
8.151,52.389,8.509,87.181
8.235,52.75,8.596,87.569
8.319,52.819,8.684,87.444
8.403,52.861,8.772,87.194
8.487,52.736,8.86,88.236
8.571,52.528,8.947,88.583
8.655,52.264,9.035,89.625
8.739,52.319,9.123,90.5
8.824,52.167,9.211,87.333
8.908,53,9.298,82.472
8.992,53.25,9.386,81.764
9.076,53.097,9.474,84.639
9.16,52.944,9.561,86.292
9.244,52.847,9.649,83.986
9.328,52.722,9.737,83.236
9.412,52.569,9.825,86.944
9.496,52.917,9.912,89.778
9.58,53.333,10,90.153
9.664,53.181,10.088,89.375
9.748,53.319,10.175,86.847
9.832,53.306,10.263,88.694
9.916,53.486,10.351,90.917
10,53.431,10.439,90.306
10.084,53.472,10.526,88.389
10.168,53.181,10.614,89.292
10.252,53.125,10.702,91.625
10.336,53.153,10.789,91.069
10.42,53.625,10.877,88.542
10.504,53.903,10.965,85.514
10.588,54.375,11.053,86.583
10.672,54.125,11.14,91.278
10.756,54,11.228,92.528
10.84,54.75,11.316,89.028
10.924,54.639,11.404,85.639
11.008,54.319,11.491,86.708
11.092,54.319,11.579,92.903
11.176,54.458,11.667,96.375
11.261,54.931,11.754,95.417
11.345,55.569,11.842,93.514
11.429,55.375,11.93,94.361
11.513,55.819,12.018,92.389
11.597,56.153,12.105,89.403
11.681,56.056,12.193,88.819
11.765,56.042,12.281,91.069
11.849,55.806,12.368,93.319
11.933,56.083,12.456,94.708
12.017,56.125,12.544,91.417
12.101,56.653,12.632,88.458
12.185,57.097,12.719,90.125
12.269,57.556,12.807,93.056
12.353,58,12.895,93.333
12.437,58.819,12.982,92.153
12.521,58.625,13.07,88.917
12.605,58.153,13.158,88
